温度,频率,磁芯损耗,峰值磁通密度,P_pred_SE,k_T,P_pred_Mod,误差_SE,误差_Mod
25,50030,1997.95525,0.028848625,932.9033676923045,0.28608909370256097,1390.8839604892387,53.307093955567595,30.38462896057163
25,50020,2427.74983,0.031419176,1155.0915708622595,0.28608909370256097,1722.1487181280418,52.42130978288404,29.063995933714402
25,50020,3332.72576,0.035534728,1572.5889841429048,0.28608909370256097,2344.6038145376874,52.813729739859994,29.64906255779991
25,50020,4502.908007,0.040015423,2117.8350143298776,0.28608909370256097,3157.5218338856703,52.967393270357846,29.878162534585613
25,50030,6063.023248,0.04502763,2847.7342344188037,0.28608909370256097,4245.742922106817,53.03111800934985,29.97317100000642
25,50020,14273.85421,0.063309253,6688.185892419841,0.28608909370256097,9971.547755850059,53.1437984862265,30.141168536917128
25,50020,56401.52952,0.111447239,27601.76298607862,0.28608909370256097,41152.010752762755,51.062031081460255,27.03742061078283
25,50020,73651.31728,0.124866864,36703.53434303662,0.28608909370256097,54722.02049959077,50.165814138122066,25.701233161174535
25,50020,125047.8122,0.1566562,64805.19614315718,0.28608909370256097,96619.34021617309,48.17566576893923,22.734081855313665
25,50020,161776.6059,0.174814636,85310.0353909805,0.28608909370256097,127190.40792788733,47.266766467017035,21.378986028110674
25,50020,352985.6272,0.244365162,197521.88565480054,0.28608909370256097,294489.2602139952,44.042513225932126,16.571883521155677
25,50030,441717.9624,0.268992445,251351.92835257488,0.28608909370256097,374745.52851967426,43.09673824743359,15.161809023215254
25,56320,1759.006565,0.024828539,774.5824796529566,0.28608909370256097,1154.8402378376004,55.9647760806989,34.34701945881592
25,56310,2364.873224,0.027812696,1029.199105998534,0.28608909370256097,1534.4531687395183,56.47973449258632,35.11478107295284
25,56320,3132.233226,0.031156813,1368.4343989413783,0.28608909370256097,2040.2257322508276,56.31122268985923,34.863543515363126
25,56320,4363.429973,0.035420698,1887.3495746557455,0.28608909370256097,2813.886563319475,56.746193101888345,35.512049448914695
25,56320,5773.018252,0.0397187,2514.9296415015224,0.28608909370256097,3749.558015613403,56.43648553111274,35.05030034654041
25,56320,9988.187279,0.04929146,4321.029660627476,0.28608909370256097,6442.30802020996,56.738599908790555,35.500728608134864
25,56310,13463.78092,0.055898567,5921.025373118473,0.28608909370256097,8827.773064526613,56.02256596196551,34.43317952824641
25,56310,23248.3141,0.070737564,10683.074282133404,0.28608909370256097,15927.605347261746,54.0479613438576,31.489202706265285
25,56320,39002.19859,0.087617849,18272.188529203635,0.28608909370256097,27242.364888414828,53.15087561784646,30.15171997150013
25,56320,50069.23431,0.097540819,23910.190213871047,0.28608909370256097,35648.172375007205,52.24574423121222,28.802241803231592
25,56320,66762.87637,0.110358798,32582.83108370996,0.28608909370256097,48578.38304707431,51.19618438376465,27.237432405019803
25,56310,113796.1134,0.137948422,56987.53615878546,0.28608909370256097,84963.83734483227,49.92136861610473,25.336784529556468
25,56310,148257.1129,0.154213975,75355.90459777473,0.28608909370256097,112349.59875048023,49.17214889473628,24.219758126370323
25,56320,198685.0545,0.17350443,101285.32311971413,0.28608909370256097,151008.27828359258,49.022173119863865,23.99615629690326
25,56320,255933.2678,0.192730315,131809.5282914863,0.28608909370256097,196517.4155108724,48.498477972590365,23.215368912320663
25,56320,331623.2171,0.214929047,173229.7235331586,0.28608909370256097,258271.59841674456,47.76308937352788,22.118963601133053
25,56320,416358.3168,0.236343413,219794.08256313766,0.28608909370256097,327695.3161866449,47.21035375193022,21.294879202796096
25,56310,534557.2986,0.263947758,289831.3743787909,0.28608909370256097,432115.2906406613,45.781046271773626,19.16389659773297
25,63010,1507.127686,0.022059316,689.6275872035799,0.28608909370256097,1028.1793194991649,54.24225872766696,31.778884493323222
25,63020,1987.49952,0.024725928,918.2358521251693,0.28608909370256097,1369.0158733442436,53.79944282325315,31.118681561027824
25,63020,2690.828365,0.027911211,1244.134257075488,0.28608909370256097,1854.9042085055873,53.76389392730785,31.065681013601644
25,63020,4918.264521,0.035428021,2261.8940646081724,0.28608909370256097,3372.3023024041204,54.01032101973491,31.433084007477273
25,63020,6538.643558,0.039388525,2950.0779078247597,0.28608909370256097,4398.329115626533,54.88241740574231,32.73330964424268
25,63020,11504.91656,0.049814376,5314.592151796435,0.28608909370256097,7923.62985971524,53.805904422861495,31.128315286840806
25,63020,14827.08294,0.055885843,7090.3523907171475,0.28608909370256097,10571.14568989068,52.17972126136129,28.70380686026782
25,63020,19682.18168,0.062965686,9561.26842694873,0.28608909370256097,14255.082956631995,51.42170424803878,27.57366440165898
25,63020,26015.31362,0.07076822,12814.056791517609,0.28608909370256097,19104.729039844646,50.74417714623881,26.563525933597237
25,63020,33431.1089,0.078459062,16595.67254233204,0.28608909370256097,24742.814263561053,50.3585938714344,25.988652253287796
25,63020,43311.21706,0.087840747,22026.795386217393,0.28608909370256097,32840.18202169563,49.142977543893124,24.17626598624234
25,63020,56888.04649,0.098822527,29593.01869207489,0.28608909370256097,44120.81300883561,47.98025153267152,22.442734930981786
25,63020,73132.61212,0.110218222,38904.167906505136,0.28608909370256097,58002.988317205265,46.80325674314895,20.687930273800724
25,63020,96561.45489,0.124335952,52626.00150375824,0.28608909370256097,78461.13963263344,45.49999110544859,18.74486592811377
25,63020,124836.8907,0.13898708,69576.7866935203,0.28608909370256097,103733.39831946748,44.26584457256087,16.904852613837587
25,63020,164156.6808,0.156473638,93642.15126951382,0.28608909370256097,139612.92319981422,42.95562580020574,14.951421703079282
25,63020,213181.9924,0.175147308,124222.62118018788,0.28608909370256097,185205.9466318071,41.72930847409235,13.123081107010465
25,63020,272698.8683,0.194790244,162149.31591921847,0.28608909370256097,241751.6009983246,40.53905799827682,11.348513286688757
25,63020,345321.4402,0.215860491,209761.03508567755,0.28608909370256097,312736.8485741355,39.256295536069196,9.436017528188364
25,63030,450682.3276,0.242998028,282325.0068798451,0.28608909370256097,420923.89985208714,37.35609550449897,6.602971966170541
25,63030,568872.0099,0.268987649,364220.992204358,0.28608909370256097,543024.2334569463,35.97487908248762,4.543689264584719
25,70840,2225.097322,0.024687579,1103.6877894283748,0.28608909370256097,1645.5098104116462,50.39822400054218,26.047737591423605
25,70840,3024.184603,0.027983078,1510.9438609437443,0.28608909370256097,2252.695889162532,50.03797521338864,25.510635596522423
